customer_id,customer_name,signup_date,segment
C001,Customer_001,2024-04-12,Wholesale
C002,Customer_002,2024-12-14,Wholesale
C003,Customer_003,2024-09-27,Wholesale
C004,Customer_004,2024-04-16,Retail
C005,Customer_005,2024-03-12,Wholesale
C006,Customer_006,2024-07-07,Retail
C007,Customer_007,2024-01-21,Wholesale
C008,Customer_008,2024-04-12,Wholesale
C009,Customer_009,2024-05-01,Wholesale
C010,Customer_010,2024-08-02,Retail
C011,Customer_011,2024-11-26,Wholesale
C012,Customer_012,2024-03-28,Retail
C013,Customer_013,2024-04-09,Wholesale
C014,Customer_014,2024-12-25,Retail
C015,Customer_015,2024-05-31,Wholesale
C016,Customer_016,2024-05-10,Retail
C017,Customer_017,2024-05-29,Retail
C018,Customer_018,2024-11-04,Wholesale
C019,Customer_019,2024-09-14,Retail
C020,Customer_020,2024-12-09,Wholesale
C021,Customer_021,2024-10-20,Wholesale
C022,Customer_022,2024-07-10,Wholesale
C023,Customer_023,2024-10-03,Wholesale
C024,Customer_024,2024-06-09,Wholesale
C025,Customer_025,2024-11-09,Wholesale
C026,Customer_026,2024-01-22,Wholesale
C027,Customer_027,2024-09-09,Wholesale
C028,Customer_028,2024-08-23,Wholesale
C029,Customer_029,2024-12-10,Wholesale
C030,Customer_030,2024-02-18,Wholesale
C031,Customer_031,2024-02-28,Retail
C032,Customer_032,2024-06-18,Retail
C033,Customer_033,2024-07-06,Wholesale
C034,Customer_034,2024-09-27,Wholesale
C035,Customer_035,2024-07-08,Wholesale
C036,Customer_036,2024-06-23,Wholesale
C037,Customer_037,2024-02-20,Wholesale
C038,Customer_038,2024-12-29,Wholesale
C039,Customer_039,2024-02-24,Wholesale
C040,Customer_040,2024-08-31,Wholesale
C041,Customer_041,2024-11-15,Retail
C042,Customer_042,2024-05-10,Wholesale
C043,Customer_043,2024-11-02,Retail
C044,Customer_044,2024-05-14,Wholesale
C045,Customer_045,2024-01-21,Wholesale
C046,Customer_046,2024-11-24,Retail
C047,Customer_047,2024-06-15,Wholesale
C048,Customer_048,2024-09-30,Retail
C049,Customer_049,2024-03-29,Wholesale
C050,Customer_050,2024-11-11,Wholesale
