order_id,order_date,customer_id,product_id,quantity,price,region
1001,2025-11-03,C044,P014,1,84.64,West
1002,2025-11-03,C012,P002,2,27.13,West
1003,2025-11-03,C039,P012,5,92.55,East
1004,2025-11-03,C026,P006,3,59.82,West
1005,2025-11-03,C013,P004,3,36.93,North
1006,2025-11-03,C008,P013,1,48.78,West
1007,2025-11-03,C028,P004,3,38.1,West
1008,2025-11-03,C030,P014,1,75.26,South
1009,2025-11-03,C009,P016,1,81.67,North
1010,2025-11-03,C039,P004,2,84.96,West
1011,2025-11-03,C031,P001,3,98.72,West
1012,2025-11-03,C021,P013,1,81.22,West
1013,2025-11-03,C047,P004,2,64.12,East
1014,2025-11-03,C034,P020,4,40.53,West
1015,2025-11-03,C031,P018,2,59.01,South
1016,2025-11-03,C025,P006,2,13.7,North
1017,2025-11-03,C012,P003,1,77.03,North
1018,2025-11-03,C001,P013,5,50.14,West
1019,2025-11-03,C022,P016,5,11.8,West
1020,2025-11-03,C040,P005,5,15.63,West
1021,2025-11-03,C037,P004,2,44.87,North
1022,2025-11-03,C047,P008,1,62.51,North
1023,2025-11-03,C001,P019,3,51.78,East
1024,2025-11-03,C001,P014,2,65.73,South
1025,2025-11-03,C042,P007,2,53.23,East
1026,2025-11-03,C042,P014,1,69.55,South
1027,2025-11-03,C021,P006,4,29.72,East
1028,2025-11-03,C015,P012,2,20.16,North
1029,2025-11-03,C017,P016,4,63.68,East
1030,2025-11-03,C022,P017,4,53.62,South
1031,2025-11-03,C038,P013,5,12.42,West
1032,2025-11-03,C035,P014,1,44.24,South
1033,2025-11-03,C045,P007,4,19.55,West
1034,2025-11-03,C016,P014,1,57.82,North
1035,2025-11-03,C008,P015,5,45.62,South
1036,2025-11-03,C047,P012,1,65.18,East
1037,2025-11-03,C017,P017,2,82.5,South
1038,2025-11-03,C017,P009,4,36.97,West
1039,2025-11-03,C026,P015,1,96.59,North
1040,2025-11-03,C013,P012,3,58.21,East
1041,2025-11-03,C017,P002,1,65.65,South
1042,2025-11-03,C038,P005,4,71.26,West
1043,2025-11-03,C017,P013,5,70.01,East
1044,2025-11-03,C048,P020,5,55.99,North
1045,2025-11-03,C014,P008,4,48.59,East
1046,2025-11-03,C045,P014,2,14.84,North
1047,2025-11-03,C006,P015,2,11.99,East
1048,2025-11-03,C035,P011,5,42.22,South
1049,2025-11-03,C046,P001,5,40.03,West
1050,2025-11-03,C014,P003,4,44.89,South
1051,2025-11-03,C047,P017,2,22.45,South
1052,2025-11-03,C008,P019,5,76.44,North
1053,2025-11-03,C015,P014,2,87.13,North
1054,2025-11-03,C027,P008,5,94.48,North
1055,2025-11-03,C013,P013,1,54.31,South
1056,2025-11-03,C049,P020,3,73.08,East
1057,2025-11-03,C031,P003,1,87.0,East
1058,2025-11-03,C035,P005,5,47.65,South
1059,2025-11-03,C006,P009,3,37.85,South
1060,2025-11-03,C005,P006,3,94.31,West
1061,2025-11-03,C022,P002,5,56.41,North
1062,2025-11-03,C049,P013,5,54.75,North
1063,2025-11-03,C023,P005,2,26.06,South
1064,2025-11-03,C025,P008,5,19.73,South
1065,2025-11-03,C034,P001,4,85.79,East
1066,2025-11-03,C026,P020,5,65.27,South
1067,2025-11-03,C047,P012,4,39.32,East
1068,2025-11-03,C005,P011,5,27.26,South
1069,2025-11-03,C026,P007,2,59.99,West
1070,2025-11-03,C020,P015,4,62.55,West
1071,2025-11-03,C006,P011,1,28.63,East
1072,2025-11-03,C006,P016,4,86.63,North
1073,2025-11-03,C050,P003,2,17.58,West
1074,2025-11-03,C018,P020,4,42.05,East
1075,2025-11-03,C004,P014,5,71.23,South
1076,2025-11-03,C017,P003,5,34.67,South
1077,2025-11-03,C014,P001,2,84.49,East
1078,2025-11-03,C014,P015,3,76.59,North
1079,2025-11-03,C013,P001,5,81.01,East
1080,2025-11-03,C007,P017,1,20.72,East
1081,2025-11-03,C044,P002,2,22.65,West
1082,2025-11-03,C015,P020,4,35.78,East
1083,2025-11-03,C019,P006,4,56.63,East
1084,2025-11-03,C043,P008,1,77.32,South
1085,2025-11-03,C047,P016,5,85.29,West
1086,2025-11-03,C044,P019,2,73.39,South
1087,2025-11-03,C035,P001,1,93.57,South
1088,2025-11-03,C017,P003,5,76.49,North
1089,2025-11-03,C035,P003,2,37.56,North
1090,2025-11-03,C019,P005,4,33.86,West
1091,2025-11-03,C020,P012,2,72.66,West
1092,2025-11-03,C036,P012,3,27.36,North
1093,2025-11-03,C035,P020,2,18.34,North
1094,2025-11-03,C032,P013,3,57.9,North
1095,2025-11-03,C048,P020,2,83.95,North
1096,2025-11-03,C044,P009,3,19.12,North
1097,2025-11-03,C040,P007,4,81.27,South
1098,2025-11-03,C024,P004,5,83.04,West
1099,2025-11-03,C017,P019,3,53.4,South
1100,2025-11-03,C007,P019,3,15.16,South
1101,2025-11-03,C043,P006,4,25.71,East
1102,2025-11-03,C050,P013,3,73.67,South
1103,2025-11-03,C001,P011,1,74.06,North
1104,2025-11-03,C035,P013,4,90.85,North
1105,2025-11-03,C032,P013,1,62.44,East
1106,2025-11-03,C036,P020,4,21.17,East
1107,2025-11-03,C013,P015,3,20.93,East
1108,2025-11-03,C006,P013,1,74.9,East
1109,2025-11-03,C014,P011,3,26.54,East
1110,2025-11-03,C037,P019,4,39.55,South
1111,2025-11-03,C048,P008,3,53.85,East
1112,2025-11-03,C015,P020,1,12.23,South
1113,2025-11-03,C047,P008,1,32.39,West
1114,2025-11-03,C004,P010,3,46.71,East
1115,2025-11-03,C040,P016,2,35.17,East
1116,2025-11-03,C016,P019,4,22.27,South
1117,2025-11-03,C028,P011,4,75.52,West
1118,2025-11-03,C016,P013,3,83.18,South
1119,2025-11-03,C004,P009,2,33.17,South
1120,2025-11-03,C045,P020,1,79.7,East
1121,2025-11-03,C026,P019,5,44.7,North
1122,2025-11-03,C028,P016,5,55.6,North
1123,2025-11-03,C032,P007,3,87.04,South
1124,2025-11-03,C045,P019,2,77.5,East
1125,2025-11-03,C002,P012,2,82.46,West
1126,2025-11-03,C031,P015,4,22.32,North
1127,2025-11-03,C003,P014,1,16.27,West
1128,2025-11-03,C008,P011,2,90.41,North
1129,2025-11-03,C024,P010,5,44.91,East
1130,2025-11-03,C015,P011,1,35.91,South
1131,2025-11-03,C043,P006,1,75.22,West
1132,2025-11-03,C031,P002,3,85.28,West
1133,2025-11-03,C009,P011,2,87.62,South
1134,2025-11-03,C039,P019,3,38.44,West
1135,2025-11-03,C045,P006,2,86.7,North
1136,2025-11-03,C002,P014,4,13.68,South
1137,2025-11-03,C008,P020,3,14.47,North
1138,2025-11-03,C007,P006,3,66.12,North
1139,2025-11-03,C044,P017,5,15.68,East
1140,2025-11-03,C039,P010,3,39.21,North
1141,2025-11-03,C042,P001,2,70.55,East
1142,2025-11-03,C016,P003,5,40.35,West
1143,2025-11-03,C035,P008,3,26.16,West
1144,2025-11-03,C030,P008,3,35.32,East
1145,2025-11-03,C010,P020,4,51.18,North
1146,2025-11-03,C038,P015,3,52.78,South
1147,2025-11-03,C018,P007,1,80.47,South
1148,2025-11-03,C050,P011,5,77.51,East
1149,2025-11-03,C005,P007,1,51.11,West
1150,2025-11-03,C029,P004,5,86.11,West
1151,2025-11-03,C039,P012,4,20.28,South
1152,2025-11-03,C034,P006,3,32.98,East
1153,2025-11-03,C043,P014,3,84.52,South
1154,2025-11-03,C045,P012,3,44.02,North
1155,2025-11-03,C023,P011,5,98.31,North
1156,2025-11-03,C005,P019,3,51.96,East
1157,2025-11-03,C030,P005,1,81.27,East
1158,2025-11-03,C006,P014,3,46.21,North
1159,2025-11-03,C046,P016,4,48.25,West
1160,2025-11-03,C044,P013,1,44.46,East
1161,2025-11-03,C004,P020,3,74.72,North
1162,2025-11-03,C029,P004,3,59.28,North
1163,2025-11-03,C023,P011,2,94.94,West
1164,2025-11-03,C006,P017,5,32.58,West
1165,2025-11-03,C032,P007,1,19.05,West
1166,2025-11-03,C042,P014,2,45.39,West
1167,2025-11-03,C018,P011,4,65.5,South
1168,2025-11-03,C015,P009,5,87.47,West
1169,2025-11-03,C040,P013,1,41.16,South
1170,2025-11-03,C032,P018,3,68.84,East
1171,2025-11-03,C009,P011,1,41.52,North
1172,2025-11-03,C037,P015,3,65.55,South
1173,2025-11-03,C010,P019,5,89.63,East
1174,2025-11-03,C020,P001,3,30.82,East
1175,2025-11-03,C006,P004,4,46.38,South
1176,2025-11-03,C048,P014,3,99.39,East
1177,2025-11-03,C003,P014,4,88.17,East
1178,2025-11-03,C042,P003,5,60.82,South
1179,2025-11-03,C011,P017,5,56.5,East
1180,2025-11-03,C043,P003,1,35.61,West
1181,2025-11-03,C017,P016,4,56.55,West
1182,2025-11-03,C032,P014,4,86.34,North
1183,2025-11-03,C004,P020,2,71.67,East
1184,2025-11-03,C004,P013,2,36.1,North
1185,2025-11-03,C017,P015,2,28.13,West
1186,2025-11-03,C041,P014,3,33.87,West
1187,2025-11-03,C019,P019,2,25.28,West
1188,2025-11-03,C005,P006,4,18.61,East
1189,2025-11-03,C032,P010,3,47.72,East
1190,2025-11-03,C022,P015,5,20.2,West
1191,2025-11-03,C006,P020,1,25.47,North
1192,2025-11-03,C035,P006,2,59.26,North
1193,2025-11-03,C022,P010,5,24.81,South
1194,2025-11-03,C001,P007,4,15.75,West
1195,2025-11-03,C020,P017,1,38.56,North
1196,2025-11-03,C022,P018,5,29.83,West
1197,2025-11-03,C048,P017,1,56.38,North
1198,2025-11-03,C011,P009,2,19.21,South
1199,2025-11-03,C013,P010,4,77.66,South
1200,2025-11-03,C042,P010,1,91.56,West
1201,2025-11-03,C003,P007,5,76.91,North
1202,2025-11-03,C009,P016,2,57.95,East
1203,2025-11-03,C012,P018,2,87.46,South
1204,2025-11-03,C023,P006,5,72.54,West
1205,2025-11-03,C014,P020,5,10.95,West
1206,2025-11-03,C033,P001,1,45.47,North
1207,2025-11-03,C018,P001,3,86.59,West
1208,2025-11-03,C049,P012,2,41.13,South
1209,2025-11-03,C041,P002,1,13.17,West
1210,2025-11-03,C009,P004,5,77.16,West
1211,2025-11-03,C023,P017,1,82.18,East
1212,2025-11-03,C010,P004,5,24.45,East
1213,2025-11-03,C019,P011,4,58.36,South
1214,2025-11-03,C047,P004,5,27.28,North
1215,2025-11-03,C005,P001,5,74.73,East
1216,2025-11-03,C047,P007,5,34.44,North
1217,2025-11-03,C023,P018,3,38.46,South
1218,2025-11-03,C030,P009,5,86.05,East
1219,2025-11-03,C025,P003,2,52.87,North
1220,2025-11-03,C028,P008,2,70.28,East
1221,2025-11-03,C034,P019,1,46.21,South
1222,2025-11-03,C045,P004,3,36.82,South
1223,2025-11-03,C048,P018,1,66.29,East
1224,2025-11-03,C047,P020,2,23.94,North
1225,2025-11-03,C025,P011,2,43.57,West
1226,2025-11-03,C010,P014,4,28.81,West
1227,2025-11-03,C014,P018,5,72.62,East
1228,2025-11-03,C042,P016,2,94.98,North
1229,2025-11-03,C046,P003,1,99.6,West
1230,2025-11-03,C030,P015,1,50.52,South
1231,2025-11-03,C041,P004,5,32.73,North
1232,2025-11-03,C025,P005,5,49.85,West
1233,2025-11-03,C014,P017,4,86.25,North
1234,2025-11-03,C035,P007,3,28.54,East
1235,2025-11-03,C048,P016,1,95.69,North
1236,2025-11-03,C034,P014,5,40.77,West
1237,2025-11-03,C010,P016,1,98.72,East
1238,2025-11-03,C035,P007,5,85.47,North
1239,2025-11-03,C011,P009,2,82.77,South
1240,2025-11-03,C011,P004,1,38.61,West
1241,2025-11-03,C021,P011,2,10.79,East
1242,2025-11-03,C021,P002,1,44.39,North
1243,2025-11-03,C022,P012,3,37.16,South
1244,2025-11-03,C045,P012,4,13.37,West
1245,2025-11-03,C007,P004,2,55.48,South
1246,2025-11-03,C017,P018,5,46.27,North
1247,2025-11-03,C002,P007,3,67.11,North
1248,2025-11-03,C012,P001,1,65.91,East
1249,2025-11-03,C042,P013,2,20.87,South
1250,2025-11-03,C018,P006,1,97.93,East
1251,2025-11-03,C011,P006,1,26.82,West
1252,2025-11-03,C016,P012,1,50.07,East
1253,2025-11-03,C049,P008,4,53.93,West
1254,2025-11-03,C018,P019,4,83.18,North
1255,2025-11-03,C035,P005,5,18.93,North
1256,2025-11-03,C026,P018,2,48.58,South
1257,2025-11-03,C016,P005,3,66.57,West
1258,2025-11-03,C006,P010,3,29.36,North
1259,2025-11-03,C044,P001,3,66.47,South
1260,2025-11-03,C043,P010,1,93.13,South
1261,2025-11-03,C047,P005,4,99.78,East
1262,2025-11-03,C047,P012,2,12.92,South
1263,2025-11-03,C048,P007,1,31.2,North
1264,2025-11-03,C042,P009,4,37.93,East
1265,2025-11-03,C012,P012,4,45.92,West
1266,2025-11-03,C013,P001,2,31.8,West
1267,2025-11-03,C004,P011,2,28.31,North
1268,2025-11-03,C039,P015,2,95.91,North
1269,2025-11-03,C002,P002,1,92.67,East
1270,2025-11-03,C026,P020,5,14.23,East
1271,2025-11-03,C027,P007,2,40.49,North
1272,2025-11-03,C027,P012,5,46.46,North
1273,2025-11-03,C015,P018,1,31.51,West
1274,2025-11-03,C008,P003,5,66.6,West
1275,2025-11-03,C007,P007,3,67.63,West
1276,2025-11-03,C047,P011,5,86.55,North
1277,2025-11-03,C046,P018,2,76.68,South
1278,2025-11-03,C040,P012,1,58.83,North
1279,2025-11-03,C012,P006,2,68.82,North
1280,2025-11-03,C013,P005,3,34.66,West
1281,2025-11-03,C043,P001,2,63.38,North
1282,2025-11-03,C017,P012,2,54.03,East
